điểm hạnh phúc,GDP bình quân đầu người,Hỗ trợ xã hội,tự do lựa chọn cuộc sống,Tính hào phóng,Nhận thức về tham nhũng,tuổi thọ
7.804,10.792,0.969,0.961,-0.019,0.182,71.15
7.586,10.962,0.954,0.934,0.134,0.196,71.25
7.53,10.896,0.983,0.936,0.211,0.668,72.05
7.473,10.639,0.943,0.809,-0.023,0.708,72.697
7.403,10.942,0.93,0.887,0.213,0.379,71.55
7.395,10.883,0.939,0.948,0.165,0.202,72.15
7.315,11.088,0.943,0.947,0.141,0.283,71.5
7.24,11.164,0.92,0.891,0.027,0.266,72.9
7.228,11.66,0.879,0.915,0.024,0.345,71.675
7.123,10.662,0.952,0.887,0.175,0.271,70.35
7.097,10.899,0.888,0.855,0.102,0.497,71.15
7.095,10.821,0.934,0.89,0.198,0.496,71.05
6.961,10.773,0.929,0.874,0.153,0.42,71.4
6.911,11.527,0.905,0.874,0.092,0.358,71.3
6.894,11.048,0.919,0.8,0.137,0.689,65.85
6.892,10.879,0.896,0.846,0.03,0.42,71.3
6.859,10.844,0.915,0.825,0.001,0.549,70.899
6.845,10.611,0.953,0.903,0.04,0.859,69.05
6.796,10.704,0.882,0.852,0.253,0.454,70.3
6.763,10.568,0.939,0.748,-0.145,0.805,67.397
6.661,10.701,0.909,0.819,-0.1,0.553,72.3
6.65,10.588,0.951,0.913,0.014,0.771,71.052
6.609,9.952,0.872,0.895,-0.07,0.768,70.0
6.589,10.339,0.848,0.856,-0.172,0.929,67.051
6.587,11.571,0.878,0.878,0.063,0.146,73.8
6.571,11.145,0.826,0.942,0.096,0.584,66.243
6.535,10.797,0.884,0.804,-0.129,0.681,69.6
6.494,10.037,0.913,0.895,-0.065,0.575,67.5
6.469,10.353,0.953,0.753,-0.016,0.898,68.838
6.463,10.715,0.884,0.894,-0.081,0.691,64.399
6.455,10.541,0.946,0.929,0.032,0.409,69.65
6.436,10.54,0.932,0.782,-0.066,0.711,72.35
6.405,10.634,0.882,0.711,-0.074,0.842,72.05
6.368,9.359,0.844,0.861,0.259,0.866,65.195
6.334,10.114,0.889,0.792,-0.011,0.823,70.3
6.33,9.85,0.804,0.856,-0.094,0.768,65.8
6.3,10.661,0.923,0.886,0.119,0.729,71.6
6.265,10.305,0.896,0.855,-0.133,0.878,68.95
6.26,10.453,0.925,0.765,-0.031,0.736,69.049
6.259,8.618,0.853,0.877,0.021,0.625,65.65
6.213,10.37,0.937,0.818,-0.056,0.83,66.4
6.173,10.776,0.844,0.944,0.117,0.737,65.825
6.15,9.116,0.812,0.856,-0.057,0.837,62.9
6.144,10.166,0.931,0.853,0.0,0.721,65.802
6.144,9.854,0.873,0.845,0.204,0.816,67.088
6.13,10.611,0.826,0.724,-0.06,0.86,72.802
6.129,10.616,0.894,0.799,-0.237,0.64,74.349
6.125,10.341,0.917,0.757,-0.093,0.925,68.95
6.125,9.582,0.836,0.801,-0.009,0.738,65.749
6.122,9.089,0.755,0.918,-0.108,0.62,65.597
6.041,10.419,0.943,0.758,-0.059,0.839,67.5
6.024,9.959,0.891,0.823,-0.089,0.814,67.2
6.023,8.635,0.766,0.843,0.097,0.843,64.063
6.014,8.948,0.875,0.938,0.23,0.638,65.301
6.012,10.169,0.799,0.877,0.16,0.758,65.662
5.968,10.429,0.878,0.902,-0.196,0.878,71.25
5.951,10.693,0.812,0.717,-0.046,0.701,73.65
5.931,10.288,0.835,0.568,-0.24,0.793,71.15
5.902,9.957,0.888,0.813,-0.028,0.775,63.85
5.843,9.751,0.874,0.85,0.289,0.91,68.45
5.84,9.372,0.933,0.701,0.19,0.849,60.5
5.825,8.486,0.911,0.934,0.181,0.904,66.852
5.819,9.499,0.857,0.84,-0.08,0.901,65.299
5.818,9.738,0.836,0.882,-0.041,0.727,68.689
5.763,9.287,0.821,0.939,-0.004,0.759,65.502
5.738,9.51,0.906,0.891,0.021,0.843,65.9
5.722,9.813,0.89,0.805,0.063,0.844,67.1
5.703,9.165,0.867,0.822,-0.106,0.875,66.6
5.684,8.985,0.811,0.868,-0.063,0.846,63.599
5.661,10.21,0.889,0.719,-0.03,0.801,64.947
5.633,9.616,0.88,0.746,0.206,0.918,67.275
5.63,9.584,0.822,0.804,-0.104,0.834,69.35
5.569,9.811,0.827,0.85,-0.099,0.657,64.399
5.559,9.27,0.806,0.802,-0.108,0.833,69.0
5.526,9.402,0.798,0.794,-0.119,0.892,69.85
5.523,8.979,0.78,0.919,-0.06,0.732,62.038
5.466,10.087,0.918,0.801,-0.057,0.911,66.5
5.36,8.256,0.748,0.808,0.146,0.783,61.847
5.342,9.615,0.79,0.796,-0.155,0.705,67.789
5.33,8.237,0.836,0.832,-0.06,0.522,62.226
5.329,9.3,0.855,0.571,-0.117,0.717,66.549
5.308,10.966,0.817,0.687,-0.026,0.385,77.28
5.277,9.567,0.718,0.794,-0.007,0.878,69.15
5.277,9.385,0.804,0.88,0.531,0.876,63.048
5.275,9.478,0.907,0.73,-0.087,0.902,56.989
5.267,8.095,0.605,0.73,-0.004,0.739,56.85
5.254,9.703,0.805,0.769,0.131,0.902,66.5
5.211,5.527,0.839,0.659,0.128,0.811,64.05
5.111,8.962,0.679,0.919,0.091,0.703,60.946
5.109,9.646,0.716,0.786,-0.254,0.649,64.95
5.072,7.88,0.649,0.659,0.125,0.787,54.185
5.071,9.314,0.878,0.795,0.24,0.907,64.55
5.053,8.576,0.572,0.733,0.003,0.746,55.953
5.035,9.537,0.746,0.642,-0.187,0.786,58.252
4.981,8.496,0.74,0.718,0.073,0.911,54.891
4.973,8.217,0.686,0.686,0.015,0.846,55.847
4.954,7.116,0.692,0.851,0.047,0.66,51.53
4.941,9.098,0.718,0.646,-0.005,0.876,63.415
4.908,8.716,0.859,0.694,-0.132,0.836,74.5
4.903,8.973,0.553,0.787,-0.231,0.811,63.901
4.876,9.61,0.778,0.593,0.173,0.747,66.6
4.855,8.155,0.629,0.772,0.011,0.846,59.999
4.724,8.591,0.644,0.622,-0.013,0.657,60.475
4.638,7.667,0.663,0.696,0.095,0.771,55.461
4.631,9.121,0.787,0.669,-0.126,0.83,56.851
4.614,10.307,0.796,0.475,-0.077,0.795,68.663
4.605,8.596,0.641,0.777,0.139,0.881,58.763
4.555,8.54,0.601,0.766,0.008,0.787,57.313
4.501,7.091,0.59,0.788,0.032,0.734,56.55
4.497,9.244,0.73,0.576,-0.213,0.907,67.0
4.487,8.458,0.69,0.696,0.288,0.852,58.499
4.442,9.491,0.826,0.787,-0.03,0.808,67.15
4.432,7.716,0.794,0.701,0.114,0.857,58.913
4.397,7.261,0.722,0.677,0.221,0.807,53.125
4.393,8.385,0.747,0.958,0.073,0.857,61.9
4.374,8.103,0.437,0.743,-0.043,0.576,56.095
4.372,8.404,0.787,0.727,0.491,0.658,61.388
4.282,8.685,0.544,0.845,0.005,0.698,64.548
4.279,7.648,0.584,0.596,0.364,0.883,57.9
4.198,7.655,0.593,0.713,-0.028,0.846,55.403
4.17,9.367,0.726,0.732,-0.183,0.58,63.503
4.137,7.673,0.595,0.657,0.024,0.74,57.449
4.12,9.13,0.729,0.77,-0.15,0.687,67.6
4.091,7.739,0.782,0.72,0.273,0.789,60.698
4.042,7.277,0.596,0.735,0.154,0.83,56.7
4.036,8.759,0.608,0.897,0.072,0.774,60.777
4.019,7.29,0.65,0.522,0.075,0.742,58.05
3.982,8.074,0.694,0.791,0.098,0.818,55.032
3.694,7.857,0.653,0.838,0.182,0.554,59.401
3.545,8.075,0.471,0.47,-0.014,0.727,59.425
3.495,7.302,0.531,0.75,0.005,0.749,58.475
3.435,9.629,0.753,0.742,-0.215,0.83,54.725
3.207,7.007,0.652,0.664,0.086,0.834,55.375
3.204,7.641,0.69,0.654,-0.046,0.766,54.05
3.138,7.394,0.555,0.66,0.105,0.858,54.9
2.392,9.478,0.53,0.474,-0.141,0.891,66.149
1.859,7.324,0.341,0.382,-0.081,0.847,54.712
